-------------START AVALIABLE PAYLOADS------------

Framework Payloads (1706 total) [--payload <value>]
===================================================

    Name                                                               Description
    cmd/linux/http/mipsbe/meterpreter_reverse_http                     Fetch and execute an MIPSBE payload from an HTTP server.
    cmd/linux/http/mipsbe/meterpreter_reverse_https                    Fetch and execute an MIPSBE payload from an HTTP server.
    cmd/linux/http/mipsbe/meterpreter_reverse_tcp                      Fetch and execute an MIPSBE payload from an HTTP server.
    cmd/linux/http/mipsbe/reboot                                       Fetch and execute an MIPSBE payload from an HTTP server. A very small shellcode for rebooting the system. This payload is sometimes helpful for testing purposes or executing other payloads that rely on initial startup procedures. Requires CAP_SYS_BOOT privileges.
    cmd/linux/http/mipsbe/shell/reverse_tcp                            Fetch and execute an MIPSBE payload from an HTTP server. Spawn a command shell (staged). Connect back to the attacker
    cmd/linux/http/mipsbe/shell_bind_tcp                               Fetch and execute an MIPSBE payload from an HTTP server. Listen for a connection and spawn a command shell
    cmd/linux/http/mipsbe/shell_reverse_tcp                            Fetch and execute an MIPSBE payload from an HTTP server. Connect back to attacker and spawn a command shell
    cmd/linux/http/mipsle/exec                                         Fetch and execute an MIPSLE payload from an HTTP server. A very small shellcode for executing commands. This module is sometimes helpful for testing purposes as well as on targets with extremely limited buffer space.
    cmd/linux/http/mipsle/meterpreter/reverse_tcp                      Fetch and execute an MIPSLE payload from an HTTP server. Connect back to the attacker
    cmd/linux/http/mipsle/meterpreter_reverse_http                     Fetch and execute an MIPSLE payload from an HTTP server.
    cmd/linux/http/mipsle/meterpreter_reverse_https                    Fetch and execute an MIPSLE payload from an HTTP server.
    cmd/linux/http/mipsle/meterpreter_reverse_tcp                      Fetch and execute an MIPSLE payload from an HTTP server.
    cmd/linux/http/mipsle/reboot                                       Fetch and execute an MIPSLE payload from an HTTP server. A very small shellcode for rebooting the system using the reboot syscall. This payload is sometimes helpful for testing purposes. Requires CAP_SYS_BOOT privileges.
    cmd/linux/http/mipsle/shell/reverse_tcp                            Fetch and execute an MIPSLE payload from an HTTP server. Spawn a command shell (staged). Connect back to the attacker
    cmd/linux/http/mipsle/shell_bind_tcp                               Fetch and execute an MIPSLE payload from an HTTP server. Listen for a connection and spawn a command shell
    cmd/linux/http/mipsle/shell_reverse_tcp                            Fetch and execute an MIPSLE payload from an HTTP server. Connect back to attacker and spawn a command shell
    cmd/linux/http/ppc/shell_bind_tcp                                  Fetch and execute an PPC payload from an HTTP server. Listen for a connection and spawn a command shell
    cmd/linux/http/ppc/shell_find_port                                 Fetch and execute an PPC payload from an HTTP server. Spawn a shell on an established connection
    cmd/linux/http/ppc/shell_reverse_tcp                               Fetch and execute an PPC payload from an HTTP server. Connect back to attacker and spawn a command shell
    cmd/linux/http/ppc64/shell_bind_tcp                                Fetch and execute an PPC64 payload from an HTTP server. Listen for a connection and spawn a command shell
    cmd/linux/http/ppc64/shell_find_port                               Fetch and execute an PPC64 payload from an HTTP server. Spawn a shell on an established connection
    cmd/linux/http/ppc64/shell_reverse_tcp                             Fetch and execute an PPC64 payload from an HTTP server. Connect back to attacker and spawn a command shell
    cmd/linux/http/riscv32le/chmod                                     Fetch and execute an RISC-V 32-bit payload from an HTTP server. Runs chmod on the specified file with specified mode.
    cmd/linux/http/riscv32le/exec                                      Fetch and execute an RISC-V 32-bit payload from an HTTP server. Execute an arbitrary command
    cmd/linux/http/riscv32le/reboot                                    Fetch and execute an RISC-V 32-bit payload from an HTTP server. A very small shellcode for rebooting the system using the reboot syscall. This payload is sometimes helpful for testing purposes. Requires CAP_SYS_BOOT privileges.
    cmd/linux/http/riscv32le/shell_bind_tcp                            Fetch and execute an RISC-V 32-bit payload from an HTTP server. Listen for a connection and spawn a command shell
    cmd/linux/http/riscv32le/shell_reverse_tcp                         Fetch and execute an RISC-V 32-bit payload from an HTTP server. Connect back to attacker and spawn a command shell.
    cmd/linux/http/riscv64le/chmod                                     Fetch and execute an RISC-V 64-bit payload from an HTTP server. Runs chmod on the specified file with specified mode.
    cmd/linux/http/riscv64le/exec                                      Fetch and execute an RISC-V 64-bit payload from an HTTP server. Execute an arbitrary command
    cmd/linux/http/riscv64le/reboot                                    Fetch and execute an RISC-V 64-bit payload from an HTTP server. A very small shellcode for rebooting the system using the reboot syscall. This payload is sometimes helpful for testing purposes. Requires CAP_SYS_BOOT privileges.
    cmd/linux/http/riscv64le/shell_bind_tcp                            Fetch and execute an RISC-V 64-bit payload from an HTTP server. Listen for a connection and spawn a command shell
    cmd/linux/http/riscv64le/shell_reverse_tcp                         Fetch and execute an RISC-V 64-bit payload from an HTTP server. Connect back to attacker and spawn a command shell.
    cmd/linux/http/x64/exec                                            Fetch and execute an x64 payload from an HTTP server. Execute an arbitrary command or just a /bin/sh shell
    cmd/linux/http/x64/meterpreter/bind_tcp                            Fetch and execute an x64 payload from an HTTP server. Listen for a connection
    cmd/linux/http/x64/meterpreter/reverse_sctp                        Fetch and execute an x64 payload from an HTTP server. Connect back to the attacker
    cmd/linux/http/x64/meterpreter/reverse_tcp                         Fetch and execute an x64 payload from an HTTP server. Connect back to the attacker
    cmd/linux/http/x64/meterpreter_reverse_http                        Fetch and execute an x64 payload from an HTTP server.
    cmd/linux/http/x64/meterpreter_reverse_https                       Fetch and execute an x64 payload from an HTTP server.
    cmd/linux/http/x64/meterpreter_reverse_tcp                         Fetch and execute an x64 payload from an HTTP server.
    cmd/linux/http/x64/pingback_bind_tcp                               Fetch and execute an x64 payload from an HTTP server. Accept a connection from attacker and report UUID (Linux x64)
    cmd/linux/http/x64/pingback_reverse_tcp                            Fetch and execute an x64 payload from an HTTP server. Connect back to attacker and report UUID (Linux x64)
    cmd/linux/http/x64/set_hostname                                    Fetch and execute an x64 payload from an HTTP server.
    cmd/linux/http/x64/shell/bind_tcp                                  Fetch and execute an x64 payload from an HTTP server. Spawn a command shell (staged). Listen for a connection
    cmd/linux/http/x64/shell/reverse_sctp                              Fetch and execute an x64 payload from an HTTP server. Spawn a command shell (staged). Connect back to the attacker
    cmd/linux/http/x64/shell/reverse_tcp                               Fetch and execute an x64 payload from an HTTP server. Spawn a command shell (staged). Connect back to the attacker
    cmd/linux/http/x64/shell_bind_ipv6_tcp                             Fetch and execute an x64 payload from an HTTP server. Listen for an IPv6 connection and spawn a command shell
    cmd/linux/http/x64/shell_bind_tcp                                  Fetch and execute an x64 payload from an HTTP server. Listen for a connection and spawn a command shell
    cmd/linux/http/x64/shell_bind_tcp_random_port                      Fetch and execute an x64 payload from an HTTP server. Listen for a connection in a random port and spawn a command shell. Use nmap to discover the open port: 'nmap -sS target -p-'.
    cmd/linux/http/x64/shell_find_port                                 Fetch and execute an x64 payload from an HTTP server. Spawn a shell on an established connection
